id,cars
19,4
50,21
51,9
149,13
150,6
151,4
165,6
234,6
248,4
250,9
251,2
267,6
349,11
351,12
432,2
449,12
532,4
547,2
644,11
743,6
744,8
757,13
760,28
831,18
846,35
847,1
848,4
853,2
868,3
944,9
945,3
957,2
966,8
1048,12
1049,4
1053,3
1056,7
1066,26
1068,8
1099,4
1148,27
1150,7
1169,5
1170,2
1247,1
1248,13
1269,7
1280,9
1347,9
1349,6
1350,3
1399,5
1446,4
1546,6
1554,6
1595,13
1597,4
1654,4
1655,13
1660,8
1767,3
1794,2
1853,6
1854,8
1878,7
1890,5
1891,8
1892,25
1893,5
1954,12
1965,1
1968,2
1990,11
1991,2
1992,8
1993,14
2037,7
2048,5
2050,1
2067,2
2074,5
2079,2
2086,39
2090,7
2091,9
2092,5
2137,1
2146,3
2157,3
2186,6
2187,3
2189,12
2191,8
2194,5
2195,5
2240,3
2242,33
2286,18
2287,3
2288,5
2289,2
2310,24
2340,2
2341,2
2347,25
2354,3
2385,2
2387,2
2410,6
2438,4
2440,8
2453,5
2486,7
2487,2
2488,3
2489,2
2541,5
2588,5
2589,3
2631,12
2632,15
2638,6
2641,17
2752,2
2754,4
2785,4
2801,14
2821,5
2822,11
2833,2
2840,12
2876,8
2877,8
2884,5
2885,7
2887,3
2902,3
2914,33
2931,12
2933,3
2948,2
2949,18
2955,3
2956,7
2976,5
3017,5
3019,4
3033,3
3037,5
3038,19
3039,4
3050,2
3064,7
3117,44
3138,28
3139,6
3140,18
3149,19
3156,13
3157,5
3180,11
3194,4
3198,5
3216,2
3219,8
3221,2
3229,12
3231,2
3234,14
3236,2
3238,4
3239,2
3248,3
3254,31
3256,17
3264,1
3265,2
3266,13
3267,26
3281,6
3299,11
3314,1
3318,4
3319,5
3320,3
3321,8
3329,3
3331,12
3353,15
3354,5
3355,19
3356,19
3365,2
3367,21
3380,9
3397,2
3398,8
3414,31
3423,2
3429,8
3435,12
3438,3
3454,8
3456,1
3463,13
3464,12
3466,2
3468,12
3484,15
3485,2
3498,14
3514,14
3536,27
3547,14
3551,3
3553,23
3555,7
3556,18
3562,2
3563,4
3564,14
3571,6
3574,2
3598,4
3600,5
3613,4
3632,19
3637,6
3646,4
3655,8
3656,29
3657,43
3658,24
3661,8
