date,avgspeed,id,cars
2013-12-01 03,71.0,164,1
2013-12-01 03,47.0,448,1
2013-12-01 03,41.0,746,1
2013-12-01 03,0.0,847,3
2013-12-01 03,0.0,944,0
2013-12-01 03,7.0,947,1
2013-12-01 03,34.0,998,1
2013-12-01 03,28.0,1044,1
2013-12-01 03,78.0,1067,1
2013-12-01 03,57.0,1251,1
2013-12-01 03,7.0,1280,1
2013-12-01 03,55.0,1286,1
2013-12-01 03,0.0,1348,1
2013-12-01 03,83.0,1374,1
2013-12-01 03,38.0,1446,1
2013-12-01 03,87.0,1452,1
2013-12-01 03,55.0,1483,1
2013-12-01 03,83.0,1485,1
2013-12-01 03,81.0,1557,1
2013-12-01 03,87.0,1558,1
2013-12-01 03,12.0,1596,1
2013-12-01 03,66.0,1641,1
2013-12-01 03,45.0,1647,2
2013-12-01 03,136.0,1661,1
2013-12-01 03,84.0,1663,1
2013-12-01 03,39.0,1693,1
2013-12-01 03,28.0,1694,1
2013-12-01 03,87.0,1746,1
2013-12-01 03,42.0,1794,1
2013-12-01 03,42.0,1843,1
2013-12-01 03,52.0,1891,1
2013-12-01 03,60.0,2140,1
2013-12-01 03,68.0,2145,1
2013-12-01 03,20.0,2189,1
2013-12-01 03,0.0,2190,1
2013-12-01 03,2.0,2253,1
2013-12-01 03,63.0,2288,1
2013-12-01 03,54.0,2345,1
2013-12-01 03,0.0,2347,0
2013-12-01 03,9.0,2439,4
2013-12-01 03,83.0,2532,1
2013-12-01 03,52.0,2592,1
2013-12-01 03,50.0,2609,2
2013-12-01 03,2.0,2626,30
2013-12-01 03,89.0,2705,1
2013-12-01 03,41.0,2790,1
2013-12-01 03,66.0,2825,2
2013-12-01 03,31.0,2853,1
2013-12-01 03,76.0,2914,1
2013-12-01 03,0.0,3038,1
2013-12-01 03,34.0,3039,1
2013-12-01 03,25.0,3064,1
2013-12-01 03,113.0,3119,1
2013-12-01 03,49.0,3165,1
2013-12-01 03,0.0,3235,9
2013-12-01 03,38.0,3238,1
2013-12-01 03,42.0,3253,1
2013-12-01 03,49.0,3279,1
2013-12-01 03,99.0,3364,1
2013-12-01 03,13.0,3384,1
2013-12-01 03,66.0,3387,1
2013-12-01 03,100.0,3422,1
2013-12-01 03,31.0,3452,1
2013-12-01 03,68.0,3526,1
2013-12-01 03,55.0,3554,1
2013-12-01 03,58.0,3564,1
2013-12-01 03,58.0,3565,1
2013-12-01 03,71.0,3577,1
2013-12-01 03,33.0,3624,1
2013-12-01 03,0.0,3637,6
