id,avgspeed,cars
136,132.0,1
140,68.0,1
149,52.0,1
196,70.0,1
261,66.0,1
266,65.0,1
271,0.0,0
295,121.0,1
449,13.0,1
453,66.0,1
473,75.0,1
667,29.0,1
671,63.0,1
744,38.0,1
753,42.0,1
852,39.0,1
853,57.0,1
940,124.0,1
944,0.0,0
947,34.0,1
950,54.0,1
972,85.0,2
1044,26.0,1
1046,10.0,1
1053,34.0,2
1056,0.0,1
1148,20.0,1
1151,20.0,1
1152,13.0,1
1199,0.0,0
1252,58.0,1
1278,149.0,1
1281,112.0,1
1282,94.0,2
1284,124.0,1
1298,0.0,1
1345,55.0,1
1446,27.0,4
1450,0.0,0
1452,87.0,1
1467,0.0,1
1473,86.0,1
1546,0.0,1
1549,99.0,1
1554,39.0,3
1555,12.0,1
1557,85.0,2
1567,68.0,1
1568,137.0,1
1569,99.0,1
1570,92.0,1
1584,107.0,2
1643,62.0,1
1647,46.0,2
1649,0.0,0
1652,48.0,2
1654,79.0,1
1655,2.0,1
1656,15.0,2
1661,89.0,2
1662,86.0,1
1667,79.0,2
1682,17.0,1
1684,86.0,1
1697,18.0,1
1745,132.0,1
1746,91.0,1
1843,131.0,1
1847,55.0,1
1892,0.0,1
1941,57.0,1
1944,70.0,1
1945,57.0,1
1946,71.0,1
1954,75.0,2
1991,25.0,1
2048,53.0,2
2140,42.0,2
2145,42.0,2
2201,76.0,1
2245,92.0,1
2246,42.0,4
2247,9.0,2
2255,65.0,1
2303,66.0,1
2305,73.0,1
2346,44.0,1
2347,0.0,2
2355,5.0,1
2453,0.0,0
2507,54.0,1
2512,0.0,1
2532,78.0,1
2536,47.0,1
2550,73.0,1
2554,41.0,1
2555,7.0,1
2586,20.0,2
2592,60.0,1
2630,121.0,1
2688,38.0,1
2689,36.0,1
2731,36.0,1
2755,45.0,2
2765,0.0,1
2787,47.0,1
2812,7.0,1
2820,21.0,2
2823,29.0,1
2855,54.0,1
2876,0.0,0
2886,36.0,1
2887,33.0,1
2890,36.0,1
2924,107.0,2
2930,0.0,1
2948,141.0,1
2955,7.0,1
3035,46.0,1
3037,28.0,1
3064,0.0,0
3076,55.0,1
3091,31.0,1
3119,25.0,1
3130,31.0,1
3133,0.0,1
3134,0.0,0
3138,2.0,1
3150,99.0,1
3162,78.0,1
3180,52.0,1
3191,29.0,2
3195,18.0,1
3200,70.0,1
3221,0.0,1
3230,20.0,1
3231,28.0,1
3238,0.0,1
3252,0.0,0
3255,0.0,0
3288,91.0,1
3296,89.0,1
3321,28.0,1
3322,123.0,1
3323,0.0,1
3324,0.0,0
3331,31.0,1
3348,0.0,0
3383,0.0,0
3413,0.0,0
3422,21.0,2
3423,38.0,1
3424,78.0,1
3425,44.0,1
3430,50.0,1
3433,15.0,1
3435,28.0,2
3437,12.0,1
3439,0.0,0
3451,80.0,2
3453,0.0,1
3454,60.0,1
3480,68.0,1
3514,0.0,0
3524,1.0,3
3526,18.0,2
3555,0.0,0
3557,31.0,1
3558,0.0,0
3564,46.0,1
3572,0.0,0
3577,83.0,1
3587,0.0,0
3626,0.0,4
3627,0.0,1
3633,0.0,1
3651,54.0,1
3653,66.0,1
3654,38.0,1
3655,13.0,1
3656,0.0,1
3676,0.0,0
3721,100.0,1
3729,73.0,1
3730,0.0,1
3736,26.0,1
3738,47.0,1
3753,86.0,1
3755,25.0,1
3756,0.0,3
3762,0.0,0
3765,7.0,1
3766,41.0,1
3768,33.0,1
3771,29.0,1
3774,89.0,1
3778,0.0,0
3821,83.0,1
3826,0.0,0
3830,38.0,1
3831,28.0,1
3832,20.0,1
3837,28.0,1
3838,13.0,1
3844,0.0,0
3848,28.0,1
3849,20.0,1
3850,0.0,0
3852,3.0,3
3854,35.0,4
3855,36.0,1
3856,12.0,4
3858,52.0,2
3859,24.0,2
3860,39.0,1
3861,15.0,3
3863,2.0,5
3864,0.0,2
3872,28.0,1
3873,86.0,1
3924,57.0,1
3928,0.0,0
3933,66.0,2
3940,0.0,0
3941,14.0,2
3943,0.0,0
3947,0.0,2
3956,15.0,1
3957,0.0,0
3958,33.0,1
3959,58.0,1
3961,46.0,1
3963,13.0,2
3964,0.0,0
3965,9.0,2
3967,21.0,2
3968,29.0,1
3971,27.0,2
3972,13.0,2
4007,70.0,1
4011,73.0,1
4030,41.0,2
4035,18.0,1
4046,7.0,1
4056,47.0,1
4057,16.0,1
4060,26.0,1
4063,14.0,4
4064,42.0,1
4069,18.0,4
4101,78.0,1
4105,67.0,2
4125,45.0,2
4126,9.0,1
4130,55.0,1
4132,52.0,1
4133,12.0,1
4135,14.0,2
4144,0.0,1
4145,0.0,0
4148,0.0,0
4151,23.0,7
4152,30.0,3
4154,29.0,3
4155,38.0,2
4156,20.0,3
4157,17.0,2
4158,22.0,4
4159,42.0,1
4163,53.0,2
4170,0.0,1
4171,26.0,2
4172,50.0,1
4173,0.0,1
4174,0.0,1
4186,0.0,0
4211,73.0,1
4221,87.0,2
4238,71.0,1
4239,29.0,2
4242,9.0,1
4245,0.0,0
4249,0.0,1
4250,3.0,4
4252,10.0,5
4259,26.0,2
4260,60.0,1
4261,55.0,1
4262,36.0,1
4264,38.0,1
4265,48.0,2
4266,25.0,2
4267,13.0,1
4271,30.0,3
4272,3.0,3
4286,0.0,0
4312,65.0,1
4320,0.0,3
4342,15.0,1
4344,0.0,0
4345,2.0,1
4349,49.0,5
4351,17.0,2
4357,2.0,0
4358,7.0,3
4362,0.0,1
4366,0.0,1
4367,33.0,1
4369,0.0,0
4371,24.0,3
4372,0.0,2
4382,0.0,1
4441,49.0,1
4442,0.0,1
4443,41.0,1
4456,0.0,0
4458,13.0,1
4459,34.0,1
4465,13.0,1
4467,14.0,3
4471,4.0,2
4477,0.0,1
4482,87.0,1
4522,97.0,1
4541,0.0,1
4542,44.0,1
4544,31.0,1
4548,7.0,3
4555,44.0,1
4557,5.0,11
4558,23.0,1
4559,3.0,3
4562,0.0,1
4564,22.0,2
4567,0.0,0
4568,40.0,3
4570,18.0,1
4571,25.0,2
4580,57.0,1
4625,66.0,1
4627,0.0,1
4635,21.0,4
4642,23.0,3
4643,0.0,1
4644,0.0,0
4646,0.0,1
4647,8.0,3
4648,15.0,2
4649,0.0,0
4650,0.0,0
4662,38.0,1
4663,0.0,1
4664,55.0,1
4665,0.0,0
4668,31.0,1
4669,0.0,2
4670,15.0,2
4678,15.0,2
4682,102.0,1
4719,68.0,1
4720,58.0,1
4727,0.0,1
4736,50.0,2
4737,23.0,4
4740,58.0,1
4742,42.0,1
4745,57.0,1
4747,29.0,1
4753,0.0,1
4759,9.0,3
4762,0.0,2
4765,17.0,2
4767,16.0,2
4768,33.0,1
4769,3.0,3
4771,49.0,1
4773,0.0,1
4822,86.0,1
4825,36.0,1
4828,38.0,1
4830,0.0,0
4831,13.0,1
4832,31.0,3
4834,0.0,0
