id,avgspeed,cars
140,31.0,1
241,7.0,1
249,27.0,3
274,66.0,1
276,39.0,1
278,12.0,1
333,42.0,1
336,105.0,1
337,128.0,2
379,87.0,1
448,29.0,1
453,52.0,1
473,54.0,1
538,129.0,1
547,63.0,1
558,66.0,1
560,17.0,2
573,70.0,1
580,81.0,1
652,47.0,2
669,49.0,1
743,47.0,1
746,57.0,1
752,5.0,2
854,38.0,1
859,46.0,1
867,16.0,3
953,10.0,2
955,38.0,1
968,34.0,1
1041,112.0,1
1045,28.0,1
1046,29.0,1
1053,5.0,2
1057,54.0,1
1068,11.0,3
1072,60.0,1
1149,4.0,1
1153,33.0,1
1155,13.0,1
1157,65.0,1
1168,14.0,1
1199,46.0,1
1242,134.0,1
1248,1.0,6
1249,17.0,1
1250,18.0,1
1251,21.0,1
1255,8.0,2
1268,26.0,1
1269,86.0,2
1279,89.0,1
1281,92.0,1
1285,45.0,5
1289,65.0,1
1368,63.0,2
1398,33.0,1
1447,54.0,1
1455,62.0,1
1472,91.0,2
1473,97.0,1
1485,65.0,1
1527,89.0,1
1550,83.0,1
1557,89.0,1
1643,75.0,1
1647,45.0,4
1648,100.0,1
1655,20.0,1
1656,10.0,1
1661,84.0,1
1663,94.0,1
1665,77.0,2
1666,79.0,2
1667,83.0,4
1679,50.0,1
1692,58.0,1
1745,74.0,2
1746,87.0,1
1754,25.0,1
1778,23.0,1
1792,7.0,1
1843,42.0,2
1844,52.0,1
1847,38.0,2
1877,29.0,1
1891,6.0,2
1892,18.0,2
1924,65.0,1
1939,86.0,1
1940,89.0,3
1941,73.0,1
1942,100.0,1
1948,46.0,1
1950,31.0,1
1954,83.0,1
1966,17.0,1
1991,6.0,2
1992,13.0,1
1995,13.0,1
2041,75.0,1
2044,99.0,2
2091,23.0,1
2093,47.0,1
2094,52.0,1
2137,120.0,1
2166,38.0,1
2236,79.0,2
2239,29.0,1
2242,49.0,1
2244,29.0,1
2246,44.0,1
2247,1.0,0
2249,58.0,1
2312,28.0,1
2373,46.0,1
2377,62.0,1
2383,5.0,1
2410,50.0,1
2433,86.0,1
2437,18.0,1
2455,57.0,1
2466,63.0,1
2470,60.0,1
2478,58.0,1
2486,41.0,1
2487,1.0,1
2506,70.0,1
2507,67.0,2
2554,2.0,1
2583,76.0,1
2585,4.0,1
2586,13.0,5
2629,94.0,1
2630,120.0,1
2635,50.0,1
2636,34.0,1
2637,33.0,1
2681,26.0,1
2684,47.0,1
2700,42.0,1
2711,34.0,1
2728,86.0,1
2735,49.0,1
2747,115.0,1
2748,113.0,1
2755,28.0,1
2756,79.0,1
2765,33.0,1
2783,83.0,2
2818,7.0,1
2819,44.0,2
2820,52.0,1
2825,126.0,1
2832,41.0,2
2838,38.0,1
2856,12.0,1
2882,84.0,3
2900,36.0,1
2915,42.0,1
2920,18.0,2
2921,36.0,3
2922,12.0,1
2924,60.0,1
2935,25.0,1
2937,18.0,2
2965,68.0,1
2979,105.0,1
2981,71.0,1
2986,15.0,2
2991,44.0,1
3015,62.0,1
3016,15.0,1
3019,13.0,1
3023,50.0,1
3024,97.0,1
3055,58.0,1
3064,26.0,2
3065,52.0,1
3079,78.0,1
3116,49.0,1
3117,1.0,2
3118,10.0,1
3124,71.0,1
3139,28.0,2
3178,103.0,1
3180,118.0,1
3219,34.0,1
3221,55.0,1
3223,112.0,1
3225,66.0,1
3226,62.0,1
3229,3.0,1
3239,41.0,1
3264,8.0,4
3267,4.0,1
3279,78.0,1
3287,55.0,1
3314,58.0,1
3322,92.0,1
3323,38.0,2
3331,29.0,1
3334,41.0,1
3338,47.0,1
3351,124.0,1
3353,33.0,1
3356,18.0,2
3362,54.0,2
3364,49.0,2
3378,75.0,1
3379,66.0,1
3380,50.0,1
3393,25.0,1
3399,116.0,1
3423,86.0,1
3424,16.0,2
3430,15.0,1
3431,25.0,3
3447,2.0,1
3455,42.0,1
3456,11.0,3
3464,10.0,1
3479,49.0,1
3480,103.0,1
3524,5.0,1
3526,25.0,1
3532,9.0,3
3554,34.0,1
3556,38.0,3
3557,40.0,2
3576,63.0,1
3577,5.0,1
3580,100.0,1
3600,34.0,1
3633,7.0,1
3638,57.0,1
3645,7.0,2
3660,31.0,1
3661,60.0,2
3664,34.0,1
3729,57.0,1
3733,57.0,1
3738,12.0,2
3746,42.0,1
3759,26.0,1
3760,65.0,1
3763,28.0,3
3768,33.0,1
3774,49.0,1
3830,46.0,1
3831,66.0,2
3833,63.0,1
3838,44.0,1
3839,50.0,1
3844,25.0,1
3847,1.0,1
3849,44.0,1
3851,12.0,1
3855,35.0,3
3858,41.0,1
3859,40.0,3
3860,1.0,9
3861,19.0,2
3870,38.0,2
3911,55.0,1
3921,91.0,2
3927,36.0,1
3931,26.0,1
3935,18.0,1
3941,6.0,1
3947,50.0,1
3954,34.0,1
3956,28.0,1
3959,17.0,4
3962,23.0,1
3963,25.0,3
3967,4.0,1
3971,17.0,2
3982,73.0,1
4021,89.0,1
4034,13.0,1
4039,5.0,2
4040,36.0,1
4046,10.0,2
4048,34.0,1
4059,27.0,6
4060,28.0,1
4063,5.0,1
4068,29.0,1
4070,26.0,1
4102,75.0,1
