id,speed,cars
5,60.55291667,6
12,51.5,1
13,18.505,6
14,48.01166667,7
15,42.27453704,18
16,59.23194444,10
17,70.07208333,7
18,63.328,7
19,32.99508523,47
20,30.175,16
27,43.45,1
33,53.11,1
34,79.05916667,9
35,75.71510713,53
40,61.12284422,63
46,21.3245,10
47,27.53107143,16
48,27.60850274,62
49,36.56965708,148
50,13.34852425,106
51,27.29972194,122
62,51.5,1
63,18.0958547,144
64,27.35682666,66
65,0,1
70,20.6,9
71,19.8841121,57
72,25.26923611,26
73,18.91,9
74,26.25655269,62
75,25.21,5
81,49.085,2
96,63.57190972,20
97,35.98632007,73
98,28.1669242,96
99,23.55255719,53
100,34.49944907,39
105,69.2,1
106,73.11505208,12
112,24.14,3
113,7.24,2
114,28.97,1
115,39.69666667,3
119,14.93111111,21
130,49.89,1
132,13.94666667,3
133,38.69166667,15
134,24.14,14
135,87.00066761,29
136,86.88011111,12
140,44.41297253,41
141,48.64573688,18
147,17.16666667,7
148,10.944,13
149,21.06787578,165
150,5.631666667,16
151,20.89851832,141
152,18.51565528,60
162,64.12901027,54
163,71.615,2
164,28.03062579,62
165,16.88911582,63
170,27.44293889,51
171,22.39142157,50
172,18.73390625,51
173,18.47963535,81
174,24.27778595,61
180,51.0975,4
196,57.60239818,66
197,53.43,6
200,24.1480417,69
206,61.42483333,10
212,0,1
213,22.83467014,29
214,33.7975,4
215,33.795,2
225,38.62,1
233,40.54638889,31
234,7.51,13
236,70.92029707,48
241,33.68333286,72
247,0.276,16
248,22.80071513,101
249,26.78429965,83
250,31.59731326,87
251,21.46639924,85
252,23.79890868,40
261,70.41815157,51
262,59.34375,4
264,3.242777778,45
265,26.01319755,66
266,28.7299375,22
267,24.83766667,18
270,31.60694444,28
271,10.66963542,53
272,13.68,11
273,27.35557905,40
274,28.12070225,102
275,36.02351621,46
276,39.36285833,22
277,58.94375,16
278,41.89396825,15
279,24.945,2
280,28.43,4
295,66.57510611,60
296,86.76833333,8
300,31.785,5
306,60.485,6
313,24.14,1
314,28.866875,10
315,0,3
321,32.19,1
324,40.23,1
332,3.22,8
333,40.44816667,25
336,95.73371795,18
337,86.61224116,38
340,59.74875,6
341,20.03943398,119
348,17.76930387,73
349,28.76228051,73
350,25.98,11
351,24.05025228,138
352,27.19532241,115
358,0,3
359,11.265,3
360,60.58536954,50
361,50.06291667,12
365,19.31,3
366,24.02640958,65
367,31.39719907,22
368,40.77,10
369,40.20053571,22
370,31.77442357,38
371,60.7525,3
372,65.98333333,3
373,31.13292495,70
377,0,3
378,56.831875,6
379,58.91888889,20
380,40.23,1
394,69.48511772,63
395,76.91398942,27
400,25.21166667,6
406,88.47979167,8
413,53.11,2
414,75.64,1
432,16.78428571,27
433,31.9282571,46
434,28.94535494,25
435,48.63666667,12
437,34.76352122,39
438,44.77762326,23
439,51.50879774,20
440,76.93694444,8
441,31.02990278,17
442,41.39897369,72
447,42.07488889,15
448,31.75954167,59
449,21.71832142,76
450,24.90753125,38
451,31.11333333,8
452,51.0975,3
453,49.06768847,50
459,34.33166667,6
460,23.09148409,101
466,31.13361384,49
467,40.23,1
469,48.28083333,9
471,74.99891667,13
472,61.51444444,10
473,32.83304977,45
479,47.49452381,15
480,66.18375,5
493,83.12501488,41
494,77.88546141,42
498,46.13333333,7
499,46.67,1
505,59.55,1
506,55.86,9
513,66.785,3
532,45.38916667,27
533,32.04490909,34
534,17.705,5
535,36.62699942,31
536,32.7604362,19
537,49.35333333,18
538,24.56380636,67
542,17.70439877,89
543,0,2
547,34.68897159,46
549,39.09375,20
550,40.34857143,15
552,28.57322404,73
553,27.55347133,59
554,53.10944444,8
555,61.13833333,10
556,48.09489583,9
557,56.99022222,11
558,52.00648148,11
559,46.35694444,8
560,19.96355832,114
561,4.4275,11
563,30.58,2
564,45.06,1
565,0,2
566,42.58041667,7
567,32.07362548,23
568,30.57666667,3
569,28.646,9
573,37.13133066,54
580,69.67882708,20
581,69.2,3
592,54.81418687,29
593,83.97983965,45
597,50.695,2
605,72.42,1
606,55.81875,13
613,49.89333333,4
631,76.445,2
632,57.70714286,11
638,33.24481944,21
639,75.08082963,32
640,51.5,3
641,29.3725,4
642,17.24284252,80
643,27.58874439,68
644,9.655,12
646,52.94842091,32
647,70.005,2
652,24.85177688,72
657,25.75,1
658,25.05928571,15
659,34.87,3
660,32.76700955,66
662,0,3
663,35.41,1
665,57.94,1
666,33.25833333,7
667,26.17124606,63
668,23.03406306,49
669,61.17423611,17
670,45.22903646,17
671,53.42584722,23
672,32.16141927,44
681,65.594,16
682,84.95171875,13
691,94.3855,9
692,50.89506551,71
693,32.185,4
694,28.646,5
695,26.555,2
696,41.0375,5
697,28.97,1
706,74.130625,6
712,44.45875,5
731,71.8102,10
739,79.70014722,37
740,52.26640625,13
741,37.82,2
743,36.46387291,156
744,30.04975379,41
745,36.63439815,34
746,20.48138342,94
747,0,2
748,5.850714286,21
749,4.83,1
751,5.635,3
752,24.14,40
753,24.37670076,129
754,0,1
756,8.85,5
757,24.0825,21
758,19.58,10
759,24.61914457,42
760,28.72720965,113
765,37.815,2
766,26.55333333,19
767,27.52937614,44
768,15.11878788,22
772,27.03337816,54
773,43.48125,15
782,64.52875,11
783,65.35722222,6
791,38.34450687,66
800,25.92580612,44
806,61.69333333,5
811,61.96,2
812,65.175,3
830,89.85013889,14
831,30.58,5
840,30.00866003,62
843,25.5484577,177
844,26.04272727,23
845,30.42379905,37
846,24.1713722,208
847,31.837549,84
848,21.10027778,38
850,0,2
851,22.1605,45
852,19.9349566,82
853,26.60442499,156
854,15.02,5
855,39.43,2
856,26.394,5
857,21.244,7
858,6.442,83
859,28.57353506,146
860,22.9325,5
864,24.14,3
865,23.06666667,14
866,18.82005556,20
867,26.52655625,97
868,17.79885714,56
869,20.115,2
872,37.69214074,49
883,61.23416667,17
890,32.86168537,63
891,97.56875,4
899,31.05445833,25
900,60.49848988,46
901,54.71666667,3
906,53.56529707,16
911,39.8325,5
929,66.79,2
930,79.30388889,6
940,59.64842949,40
941,86.64708333,16
943,32.99333333,7
944,31.77896422,234
945,39.06832899,172
946,20.8696875,36
947,20.61188743,50
948,23.98355236,38
949,23.99157813,34
950,32.60407407,24
951,26.08541667,8
952,20.9524125,36
953,23.18081238,92
954,41.84,1
955,32.72555556,16
956,19.0891301,92
957,13.41333333,37
958,19.77744146,102
959,36.694,5
960,37.4175,5
964,6.44,3
965,3.891666667,14
966,23.87730255,61
967,34.87969014,138
968,21.2655303,46
969,17.19532468,47
970,12.34,45
971,20.278,5
972,29.51537634,46
983,55.69917188,19
988,51.5,1
989,53.7219188,71
990,52.55942271,31
998,26.43690451,58
999,27.20717718,75
1002,48.28,1
1004,50.2925,5
1005,22.5325,4
1006,47.3965,10
1010,58.74,2
1029,70.27666667,5
1040,37.01,1
1041,78.73012879,42
1044,21.50292917,221
1045,18.38844341,95
1046,18.64306383,92
1047,33.06604772,66
1048,32.62843522,145
1049,22.27388889,33
1050,9.75625,63
1051,16.09333333,16
1052,23.88847222,38
1053,9.573544504,121
1054,31.24833333,7
1055,26.42083333,23
1056,22.52146399,86
1057,29.49338992,35
1058,28.49572778,26
1061,28.97,1
1065,0,5
1066,20.87212121,37
1067,22.90455175,65
1068,18.08940983,111
1069,16.23759722,36
1070,22.75041667,27
1071,19.31,1
1072,31.91393334,55
1083,29.90015625,9
1084,55.50675926,13
1086,56.33,1
1087,38.34143188,26
1088,28.34682351,56
1089,54.38095754,58
1097,45.3128125,14
1098,30.9077783,267
1099,33.07149212,124
1106,27.23377778,24
1110,44.255,4
1128,27.78933333,11
1129,70.1425,5
1130,30.58,1
1138,28.97,1
1139,43.45,1
1141,41.21592624,50
1142,20.13649266,31
1143,29.79821057,36
1144,19.83557344,101
1145,27.04658453,61
1148,21.29210491,428
1149,42.04343679,200
1150,32.59347021,130
1151,27.69950179,126
1152,32.44757616,81
1153,14.31801317,118
1154,38.67566667,14
1155,21.4845,20
1156,29.54643405,155
1157,25.45249043,47
1160,61.16,1
1166,24.341875,23
1167,5.635,3
1168,22.94274994,94
1169,18.08555556,28
1170,24.22040741,26
1171,37.02499158,56
1172,47.4885,13
1184,50.50787284,33
1185,62.43333333,21
1186,43.22214444,34
1187,43.38833333,18
1188,77.71514957,32
1189,56.325,2
1197,32.94963712,260
1198,22.89255303,100
1199,30.50454545,33
1200,24.14,4
1205,43.455,2
1206,54.73552083,10
1210,38.625,2
1228,85.15384774,17
1237,38.62,1
1241,43.80143939,23
1242,75.65797702,39
1245,19.2530303,123
1246,38.62,1
1247,21.21492188,49
1248,31.15199129,309
1249,24.31532724,192
1250,32.87284569,179
1251,16.766546,118
1252,24.77189951,38
1253,31.56063931,126
1254,29.17041667,18
1255,20.42512567,109
1256,24.28322917,32
1259,28.96666667,3
1260,39.965,8
1265,42.005,6
1266,40.72923077,14
1267,36.61125,12
1268,16.10732319,111
1269,36.76715388,74
1270,38.93794005,38
1277,21.2925143,93
1278,32.00399788,147
1279,25.60615113,116
1280,30.47170193,137
1281,20.97560883,130
1282,30.04920239,127
1283,24.28240601,132
1284,26.47427828,168
1285,35.02450222,259
1286,32.56999995,87
1287,63.32713315,39
1288,48.97,7
1289,58.8273064,27
1290,63.19934842,24
1291,58.00922454,17
1296,45.27822263,54
1297,22.28385417,48
1298,42.55513302,139
1299,51.04142857,9
1306,45.74326389,15
1307,20.115,9
1309,60.15,7
1310,86.9,1
1311,0,1
1327,69.00041667,10
1341,54.83516667,21
1342,39.27634919,53
1345,13.73643001,175
1346,26.16315514,104
1347,26.86562067,223
1348,40.06009063,314
1349,22.92568739,121
1350,22.49075617,61
1351,25.51650833,62
1353,69.97094792,27
1354,1.308800769,248
1355,24.7380375,39
1356,25.36666667,12
1357,55.255,7
1358,43.25125,8
1359,27.458625,14
1360,39.2275,9
1361,50.9625,10
1362,49.183125,9
1363,49.62166667,7
1364,46.13333333,7
1365,47.67625,14
1366,2.415,10
1368,29.16120184,89
1369,55.4010643,28
1373,84.76,3
1374,25.46996877,120
1375,22.65271155,124
1376,29.03553196,124
1377,20.93942901,18
1382,0,7
1383,29.23722222,12
1384,38.30510417,14
1385,21.22964263,74
1386,22.910671,173
1387,35.57939931,17
1388,30.27880521,21
1391,59.815,4
1392,31.04000215,42
1395,32.48159362,36
1396,37.56067708,19
1397,26.36009259,21
1398,30.24426667,23
1399,27.72665625,27
1406,46.93833333,15
1409,59.545,4
1427,74.835,2
1435,38.62,1
1441,58.11421875,12
1442,28.75465017,29
1443,36.12190668,43
1445,20.23142857,8
1446,13.12169117,327
1447,27.06236528,203
1448,27.82796828,90
1449,29.52793404,146
1450,40.8526842,117
1451,32.28734716,158
1452,21.2474454,134
1453,28.97526314,98
1454,18.01094535,190
1455,6.848119979,382
1456,24.78332174,188
1457,38.45114007,33
1463,70.005,2
1464,31.60090909,13
1467,62.96625,5
1468,48.11252725,70
1471,25.58969667,111
1472,27.9443439,143
1473,30.77666619,114
1474,66.75645833,9
1482,11.265,3
1483,24.88230769,38
1484,27.26596956,92
1485,28.00163263,143
1486,41.4493099,42
1487,45.06,3
1492,44.94962963,20
1493,45.22753472,31
1494,61.59161172,26
1495,28.43923526,67
1496,24.17048433,71
1497,23.48504773,70
1499,30.54271605,34
1500,0,1
1506,36.13434896,20
1507,62.76,1
1508,40.77,3
1526,85.16166667,6
1527,73.22333333,4
1534,0,1
1541,45.99222994,21
1542,0,1
1543,35.49241896,225
1546,9.08993242,260
1547,0,12
1548,68.71287037,10
1549,15.71025513,203
1550,30.40408314,159
1551,98.975,2
1552,0,1
1553,21.56135472,90
1554,48.28745667,490
1555,21.43960689,159
1556,41.72668025,239
1557,22.13538507,233
1558,25.51849327,152
1559,26.76727094,47
1567,42.72356686,98
1568,18.41320126,140
1569,21.47601163,136
1570,26.23560506,130
1571,31.98590476,31
1582,6.44,5
1583,24.93909907,126
1584,20.75112108,175
1585,24.96133583,42
1587,59.55,1
1591,27.35875,9
1592,17.12547619,32
1593,32.68267846,71
1594,41.22826091,38
1595,9.668622024,50
1596,23.02933086,56
1597,17.26101852,62
1598,18.5075,10
1599,29.06141146,62
1600,0,5
1606,74.03,1
1607,41.84166667,10
1608,53.410625,9
1626,75.96746667,14
1634,59.55,1
1641,71.92420833,13
1643,13.90830575,81
1646,37.35458211,68
1647,0.113600896,426
