id,speed,cars
5,70.0,3
13,18.0,2
14,99.0,2
15,57.0,3
16,84.0,1
17,85.0,2
18,68.0,2
19,23.0,8
20,42.0,1
34,76.0,4
35,115.0,27
40,76.0,28
48,34.0,3
49,34.0,27
50,15.0,4
51,20.0,12
62,71.0,1
63,47.0,67
64,47.0,33
71,19.0,4
72,18.0,7
73,30.0,4
74,75.0,13
75,92.0,1
81,63.0,2
96,62.0,12
97,83.0,39
98,34.0,37
99,64.0,17
100,68.0,13
105,68.0,1
106,72.0,3
113,17.0,2
115,65.0,1
133,32.0,2
134,46.0,1
135,114.0,11
136,110.0,7
140,74.0,17
141,73.0,7
147,21.0,4
148,17.0,4
149,45.0,19
150,8.0,2
151,35.0,20
152,41.0,11
162,71.0,28
164,53.0,27
165,51.0,24
170,24.0,15
172,15.0,5
173,30.0,25
174,69.0,17
180,33.0,1
195,76.0,1
196,93.0,33
197,64.0,2
200,63.0,18
206,84.0,1
213,14.0,3
233,48.0,4
234,9.0,2
236,117.0,15
241,68.0,24
247,15.0,4
248,26.0,19
249,46.0,23
250,34.0,10
251,19.0,11
252,43.0,15
261,79.0,26
265,49.0,26
266,48.0,22
270,40.0,11
271,6.0,2
273,62.0,7
274,73.0,21
275,42.0,15
276,66.0,2
277,58.0,1
278,66.0,1
279,25.0,2
280,13.0,1
295,100.0,28
306,63.0,1
313,32.0,3
314,41.0,2
332,28.0,1
333,38.0,7
336,112.0,4
337,117.0,13
340,58.0,7
341,57.0,39
348,39.0,36
349,28.0,19
350,17.0,1
351,48.0,23
352,40.0,22
360,70.0,10
361,85.0,4
366,58.0,44
367,36.0,10
368,55.0,8
369,32.0,6
370,40.0,8
371,63.0,2
372,58.0,3
373,73.0,29
374,92.0,1
378,62.0,3
379,59.0,10
380,39.0,1
394,102.0,32
395,110.0,12
400,21.0,1
406,63.0,1
413,60.0,1
414,55.0,2
433,57.0,16
434,85.0,4
435,56.0,3
437,106.0,14
438,92.0,13
439,77.0,7
440,83.0,4
442,65.0,13
447,47.0,5
448,43.0,27
449,29.0,36
450,39.0,11
451,40.0,6
452,70.0,1
453,58.0,13
459,65.0,1
460,51.0,23
466,54.0,33
469,42.0,7
471,65.0,2
472,61.0,5
473,78.0,13
479,89.0,1
480,64.0,2
493,104.0,21
494,105.0,14
498,55.0,1
506,68.0,1
513,75.0,1
532,50.0,6
533,49.0,4
534,28.0,1
535,46.0,8
536,62.0,11
537,84.0,6
538,105.0,22
540,39.0,1
542,61.0,23
543,33.0,1
547,66.0,19
549,39.0,9
550,51.0,3
552,49.0,7
553,46.0,13
554,75.0,1
555,71.0,3
556,53.0,2
557,59.0,4
559,55.0,1
560,37.0,33
561,7.0,2
566,58.0,6
567,58.0,19
569,57.0,7
572,95.0,1
573,82.0,14
580,72.0,6
592,107.0,15
593,105.0,20
597,52.0,1
606,72.0,3
613,62.0,1
631,137.0,2
632,116.0,4
638,114.0,3
639,116.0,11
642,56.0,19
643,54.0,15
644,23.0,1
646,59.0,26
652,56.0,16
658,23.0,7
659,40.0,4
660,42.0,34
666,36.0,9
667,42.0,39
668,45.0,11
669,58.0,13
670,67.0,14
671,69.0,7
672,78.0,17
681,59.0,7
682,71.0,1
691,106.0,4
692,114.0,29
694,50.0,1
696,49.0,1
706,84.0,3
712,54.0,2
731,74.0,5
739,108.0,14
740,108.0,5
743,43.0,41
744,38.0,12
745,23.0,5
746,39.0,23
748,7.0,12
749,8.0,5
752,40.0,2
753,34.0,21
757,23.0,11
758,29.0,2
759,36.0,7
760,27.0,28
765,39.0,1
766,32.0,7
767,59.0,17
768,21.0,5
772,76.0,32
773,50.0,9
782,82.0,6
783,60.0,1
791,105.0,37
800,68.0,16
806,57.0,1
811,71.0,1
830,71.0,4
831,11.0,31
840,120.0,23
843,66.0,28
844,36.0,10
845,37.0,19
846,20.0,48
847,26.0,31
848,23.0,16
851,42.0,2
852,30.0,5
853,51.0,18
854,4.0,1
856,18.0,1
857,28.0,3
859,36.0,30
860,34.0,1
864,31.0,1
865,30.0,5
866,28.0,15
867,44.0,18
868,23.0,3
872,67.0,21
883,66.0,2
890,100.0,33
899,73.0,16
900,64.0,12
901,58.0,1
906,63.0,2
911,71.0,1
930,66.0,4
933,5.0,1
940,119.0,12
941,92.0,3
943,57.0,1
944,45.0,42
945,35.0,61
946,31.0,4
947,24.0,17
948,33.0,11
949,29.0,2
950,30.0,2
951,40.0,2
952,25.0,4
953,55.0,15
955,30.0,5
956,18.0,20
957,31.0,3
958,57.0,24
966,19.0,18
967,41.0,13
968,38.0,1
969,32.0,2
970,17.0,1
972,83.0,32
983,65.0,10
989,94.0,28
990,91.0,12
998,38.0,24
999,58.0,17
1003,62.0,2
1004,39.0,1
1005,37.0,2
1006,46.0,3
1010,54.0,2
1029,65.0,1
1030,33.0,2
1031,15.0,1
1033,28.0,2
1041,105.0,14
1044,42.0,60
1045,41.0,33
1046,30.0,22
1047,52.0,12
1048,28.0,29
1049,22.0,8
1051,4.0,1
1053,41.0,22
1054,36.0,6
1055,31.0,12
1056,30.0,29
1057,55.0,12
1058,92.0,2
1066,16.0,21
1067,49.0,14
1068,29.0,19
1069,26.0,4
1070,32.0,6
1071,9.0,1
1072,75.0,17
1084,56.0,3
1087,97.0,15
1088,105.0,20
1089,104.0,14
1097,50.0,4
1098,41.0,30
1099,22.0,24
1106,50.0,4
1107,42.0,1
1128,54.0,1
1129,27.0,9
1132,18.0,1
1141,100.0,20
1142,60.0,4
1143,52.0,7
1144,48.0,37
1145,55.0,15
1148,29.0,49
1149,29.0,27
1150,22.0,43
1151,31.0,13
1152,37.0,12
1153,41.0,25
1154,50.0,3
1155,27.0,2
1156,48.0,42
1157,45.0,4
1166,26.0,4
1168,49.0,30
1169,33.0,2
1170,64.0,7
1171,77.0,37
1172,75.0,5
1184,66.0,8
1185,70.0,7
1186,95.0,14
1187,110.0,6
1188,109.0,11
1189,71.0,1
1197,40.0,55
1198,75.0,1
1199,46.0,3
1206,67.0,4
1210,70.0,1
