id,speed,cars
135,132.0,1
149,0.0,0
172,7.0,1
173,29.0,1
200,68.0,1
248,0.0,0
261,76.0,1
274,36.0,1
275,58.0,2
295,86.0,1
333,49.0,1
341,17.0,1
349,0.0,1
352,55.0,1
371,75.0,1
433,0.0,0
437,157.0,1
449,42.0,1
460,0.0,2
535,46.0,1
537,57.0,1
539,0.0,0
573,78.0,1
580,86.0,1
668,29.0,1
739,109.0,2
768,0.0,0
772,76.0,2
791,102.0,1
830,76.0,1
867,37.0,6
872,72.0,2
891,89.0,1
929,75.0,1
950,41.0,1
966,0.0,0
967,9.0,3
990,89.0,1
999,63.0,1
1041,135.0,3
1053,46.0,1
1067,42.0,1
1098,0.0,0
1129,65.0,1
1149,1.0,1
1157,13.0,1
1168,0.0,1
1195,0.0,0
1200,50.0,1
1249,0.0,0
1250,49.0,1
1252,50.0,1
1267,55.0,1
1270,87.0,1
1277,115.0,1
1280,76.0,1
1281,112.0,3
1282,84.0,1
1285,13.0,1
1286,94.0,1
1287,137.0,1
1296,65.0,2
1342,115.0,1
1351,57.0,1
1354,97.0,1
1368,87.0,3
1385,25.0,1
1446,29.0,1
1452,73.0,1
1455,83.0,5
1471,118.0,1
1472,129.0,1
1473,113.0,2
1484,36.0,2
1494,63.0,1
1508,73.0,1
1549,103.0,2
1550,102.0,1
1555,6.0,4
1556,25.0,1
1557,54.0,1
1567,72.0,2
1583,17.0,3
1584,0.0,0
1647,87.0,6
1648,87.0,2
1652,13.0,2
1654,42.0,3
1655,8.0,3
1656,12.0,1
1660,88.0,2
1664,121.0,2
1666,97.0,2
1667,58.0,3
1668,34.0,1
1683,29.0,3
1692,44.0,1
1744,58.0,3
1749,50.0,1
1754,49.0,2
1767,71.0,1
1783,66.0,2
1792,32.0,2
1795,18.0,1
1844,83.0,3
1846,46.0,1
1848,2.0,0
1867,71.0,1
1884,19.0,2
1891,15.0,4
1892,15.0,1
1940,124.0,1
1941,100.0,1
1944,63.0,1
1948,52.0,1
1954,0.0,1
1967,5.0,1
1984,41.0,1
1991,15.0,1
1993,0.0,0
2044,52.0,1
2045,51.0,2
2067,81.0,1
2083,112.0,1
2085,44.0,2
2144,6.0,1
2145,40.0,2
2146,29.0,3
2155,60.0,1
2166,54.0,2
2189,0.0,1
2194,0.0,1
2195,1.0,3
2209,39.0,1
2236,92.0,2
2241,17.0,1
2242,44.0,1
2244,27.0,2
2245,7.0,1
2246,18.0,1
2247,1.0,3
2253,7.0,2
2254,30.0,2
2255,57.0,1
2266,62.0,1
2284,123.0,1
2289,1.0,2
2305,60.0,2
2307,0.0,1
2309,58.0,1
2335,78.0,1
2342,38.0,2
2346,41.0,5
2347,0.0,0
2348,0.0,0
2353,0.0,0
2355,75.0,1
2368,62.0,1
2384,73.0,4
2387,65.0,1
2409,44.0,1
2410,46.0,1
2430,62.0,1
2439,23.0,1
2455,13.0,1
2456,0.0,4
2485,28.0,1
2508,52.0,1
2511,2.0,1
2512,46.0,1
2528,41.0,1
2533,136.0,1
2536,50.0,1
2541,33.0,1
2547,115.0,1
2554,33.0,1
2555,23.0,3
2585,42.0,2
2586,31.0,2
2587,21.0,1
2609,0.0,1
2636,39.0,1
2640,34.0,1
2665,35.0,2
2666,0.0,0
2681,91.0,1
2683,28.0,1
2684,0.0,1
2686,33.0,2
2688,25.0,1
2690,38.0,1
2691,39.0,1
2711,0.0,1
2716,73.0,1
2724,2.0,0
2727,101.0,2
2728,98.0,2
2735,0.0,0
2736,38.0,1
2753,38.0,1
2755,25.0,3
2765,38.0,2
2767,18.0,1
2783,41.0,1
2787,5.0,1
2788,20.0,1
2801,4.0,1
2814,50.0,1
2818,0.0,0
2819,29.0,4
2820,39.0,1
2821,17.0,2
2826,109.0,2
2852,47.0,1
2865,54.0,1
2883,0.0,1
2884,36.0,2
2885,29.0,1
2920,16.0,2
2921,47.0,1
2933,15.0,3
2935,33.0,1
2936,44.0,1
2948,104.0,2
2955,0.0,1
2956,0.0,1
2979,95.0,1
2981,76.0,2
2984,9.0,1
3017,54.0,1
3036,18.0,7
3056,26.0,1
3065,19.0,2
3076,28.0,1
3079,87.0,1
3081,79.0,1
3091,33.0,2
3094,0.0,1
3118,41.0,1
3123,83.0,2
3133,44.0,1
3163,83.0,1
3191,47.0,1
3192,60.0,3
3194,0.0,0
3195,0.0,1
3220,47.0,1
3223,103.0,2
3229,11.0,1
3231,25.0,1
3232,50.0,1
3234,34.0,1
3236,17.0,1
3250,89.0,2
3252,0.0,0
3253,49.0,1
3279,78.0,1
3280,108.0,1
3281,8.0,9
3284,42.0,1
3296,95.0,1
3317,39.0,1
3318,17.0,1
3321,2.0,4
3323,118.0,1
3324,0.0,0
3328,0.0,0
3329,50.0,2
3336,26.0,1
3354,0.0,1
3355,75.0,1
3356,0.0,0
3362,66.0,1
3365,28.0,1
3378,55.0,1
3380,43.0,3
3398,0.0,0
3399,110.0,1
3415,2.0,1
3417,50.0,1
3422,98.0,4
3423,0.0,3
3424,31.0,3
3432,33.0,1
3434,34.0,1
3435,12.0,1
3464,49.0,1
3465,1.0,1
3468,4.0,1
3477,75.0,2
3478,58.0,1
3482,0.0,1
3486,39.0,1
3516,21.0,1
3524,2.0,4
3525,0.0,2
3526,58.0,1
3535,0.0,1
3547,47.0,1
3557,26.0,1
3558,10.0,1
3561,58.0,1
3599,36.0,1
3624,21.0,1
3625,0.0,2
3626,5.0,4
3627,5.0,5
3635,49.0,1
3653,118.0,1
3658,33.0,1
3660,21.0,3
3661,29.0,2
3666,5.0,1
3670,39.0,1
3671,20.0,1
3672,36.0,1
3675,13.0,3
3677,50.0,1
3681,128.0,2
3699,0.0,1
3725,14.0,1
3729,26.0,1
3730,38.0,2
3732,23.0,1
3735,41.0,2
3736,4.0,1
3738,52.0,2
3745,1.0,1
3752,44.0,1
