id,avgspeed,cars
148,0.0,0
149,41.0,1
164,42.0,1
241,79.0,1
248,0.0,0
261,70.0,1
341,73.0,1
348,0.0,1
360,75.0,1
366,63.0,1
449,0.0,0
460,54.0,1
466,62.0,1
479,79.0,1
560,63.0,1
646,63.0,1
667,28.0,1
668,0.0,0
753,29.0,1
759,21.0,2
760,0.0,1
800,68.0,1
848,1.0,1
865,0.0,0
867,0.0,1
944,54.0,2
946,46.0,2
967,9.0,1
1044,36.0,1
1053,34.0,1
1068,5.0,1
1072,84.0,1
1152,0.0,1
1153,5.0,1
1156,0.0,1
1197,21.0,3
1250,39.0,1
1251,0.0,2
1253,0.0,0
1285,45.0,2
1345,56.0,2
1348,4.0,1
1376,123.0,1
1377,115.0,1
1395,64.0,2
1446,14.0,2
1447,0.0,0
1453,103.0,1
1456,52.0,1
1468,73.0,1
1471,141.0,1
1472,97.0,1
1484,20.0,1
1495,91.0,1
1546,0.0,1
1551,99.0,1
1554,50.0,1
1557,99.0,1
1567,71.0,1
1647,64.0,2
1655,0.0,0
1656,0.0,0
1659,83.0,1
1661,121.0,1
1662,112.0,1
1692,38.0,1
1694,10.0,1
1744,116.0,1
1747,58.0,1
1756,16.0,2
1767,25.0,2
1892,23.0,1
1895,57.0,1
1944,76.0,1
1984,9.0,2
1990,47.0,1
2039,83.0,1
2045,73.0,1
2093,52.0,1
2140,5.0,1
2144,0.0,1
2146,39.0,1
2155,0.0,1
2185,54.0,1
2189,18.0,1
2192,52.0,1
2241,0.0,1
2242,49.0,1
2243,36.0,1
2245,35.0,2
2246,21.0,1
2247,5.0,2
2266,65.0,1
2286,0.0,1
2340,0.0,1
2345,52.0,1
2355,86.0,1
2385,33.0,1
2387,52.0,1
2388,23.0,1
2447,0.0,0
2455,66.0,1
2489,9.0,1
2511,12.0,1
2555,0.0,1
2585,63.0,1
2586,23.0,3
2588,0.0,1
2639,49.0,1
2647,128.0,1
2666,15.0,1
2681,105.0,1
2685,32.0,2
2691,50.0,1
2724,0.0,0
2738,47.0,1
2754,8.0,1
2755,0.0,1
2780,99.0,1
2790,0.0,0
2826,110.0,1
2837,28.0,1
2838,65.0,1
2852,42.0,1
2882,87.0,1
2952,55.0,1
2955,43.0,3
2956,0.0,1
2981,84.0,1
3024,76.0,1
3029,0.0,0
3063,86.0,1
3091,38.0,2
3119,28.0,1
3136,44.0,1
3138,0.0,1
3139,2.0,0
3153,58.0,1
3169,73.0,1
3189,87.0,2
3194,19.0,2
3195,20.0,2
3218,41.0,1
3220,54.0,1
3235,10.0,1
3248,4.0,1
3255,0.0,1
3256,52.0,1
3265,13.0,1
3266,1.0,4
3267,4.0,2
3278,49.0,1
3279,42.0,2
3284,29.0,1
3285,7.0,1
3295,51.0,3
3296,81.0,1
3321,0.0,1
3323,4.0,1
3324,0.0,1
3338,57.0,1
3352,0.0,0
3355,49.0,1
3364,52.0,1
3365,39.0,1
3380,2.0,1
3398,28.0,2
3424,21.0,2
3436,0.0,1
3451,117.0,2
3456,5.0,3
3462,91.0,1
3463,15.0,1
3464,28.0,1
3465,41.0,1
