id,avgspeed,cars
135,132.0,1
151,12.0,1
173,28.0,1
196,76.0,1
249,61.0,2
275,34.0,1
341,41.0,1
348,33.0,1
351,41.0,1
436,12.0,2
442,55.0,1
452,50.0,1
473,62.0,1
538,103.0,2
552,33.0,1
642,31.0,2
669,52.0,1
692,102.0,1
791,105.0,1
840,118.0,2
844,17.0,1
845,44.0,1
852,2.0,1
867,23.0,1
890,105.0,1
948,21.0,1
967,28.0,1
968,21.0,1
969,15.0,1
972,52.0,1
998,28.0,1
1041,142.0,1
1055,21.0,1
1057,63.0,1
1072,68.0,1
1088,108.0,1
1098,16.0,2
1099,11.0,2
1144,12.0,1
1145,15.0,1
1148,10.0,1
1149,5.0,1
1150,18.0,2
1152,27.0,1
1161,65.0,1
1172,68.0,1
1199,9.0,1
1242,108.0,2
1248,6.0,3
1250,18.0,2
1253,31.0,1
1267,36.0,1
1270,76.0,1
1279,95.0,2
1282,99.0,1
1285,52.0,1
1286,73.0,1
1287,54.0,1
1289,70.0,1
1296,71.0,1
1298,10.0,3
1342,112.0,1
1348,11.0,5
1350,13.0,2
1356,38.0,1
1368,105.0,1
1376,110.0,1
1396,57.0,1
1398,52.0,1
1442,91.0,1
1443,52.0,1
1446,13.0,2
1450,25.0,1
1451,108.0,2
1453,108.0,1
1472,108.0,3
1484,29.0,1
1485,106.0,2
1546,30.0,2
1554,47.0,2
1556,41.0,2
1558,104.0,3
1567,46.0,1
1568,107.0,1
1570,142.0,1
1582,5.0,1
1593,30.0,2
1597,35.0,2
1643,76.0,1
1647,46.0,2
1648,99.0,1
1651,55.0,2
1654,27.0,3
1655,2.0,4
1656,21.0,2
1659,105.0,1
1660,92.0,1
1662,108.0,2
1663,103.0,2
1665,89.0,1
1667,77.0,2
1684,105.0,1
1692,23.0,1
1695,46.0,1
1745,81.0,2
1746,103.0,2
1747,50.0,3
1749,39.0,1
1752,9.0,1
1792,25.0,2
1843,5.0,1
1845,52.0,1
1847,3.0,3
1848,21.0,1
1942,121.0,2
1945,49.0,1
1954,62.0,2
1984,99.0,1
2038,116.0,1
2048,42.0,2
2055,63.0,1
2079,54.0,1
2083,100.0,1
2090,27.0,3
2091,10.0,1
2093,50.0,1
2137,108.0,1
2140,52.0,1
2141,13.0,1
2145,52.0,2
2146,27.0,2
2155,45.0,2
2180,62.0,1
2184,110.0,1
2201,73.0,1
2211,65.0,1
2236,102.0,2
2241,55.0,1
2243,48.0,2
2246,21.0,4
2255,17.0,2
2267,47.0,1
2279,15.0,1
2286,4.0,5
2304,63.0,1
2307,39.0,1
2334,122.0,2
2341,1.0,1
2346,84.0,3
2347,25.0,4
2355,70.0,1
2377,55.0,1
2386,9.0,2
2433,94.0,3
2484,39.0,1
2512,29.0,1
2547,91.0,1
2555,19.0,5
2582,102.0,2
2586,18.0,2
2587,1.0,5
2614,42.0,1
2629,107.0,1
2630,109.0,3
2647,103.0,1
2650,83.0,1
2655,31.0,3
2682,128.0,1
2686,34.0,1
2689,13.0,1
2718,68.0,1
