hour,id,avgspeed,cars
18,135,113.0,1
18,136,144.0,1
18,149,8.0,2
18,151,3.0,4
18,164,62.0,1
18,172,28.0,1
18,200,54.0,1
18,236,120.0,1
18,241,52.0,1
18,250,4.0,2
18,261,75.0,1
18,270,4.0,1
18,273,47.0,1
18,274,63.0,1
18,277,95.0,1
18,295,134.0,1
18,314,34.0,1
18,348,54.0,1
18,352,41.0,1
18,360,63.0,1
18,371,57.0,1
18,378,78.0,1
18,379,73.0,1
18,433,44.0,1
18,449,1.0,2
18,467,44.0,1
18,472,68.0,1
18,493,91.0,2
18,542,42.0,1
18,547,50.0,1
18,549,30.0,2
18,552,41.0,1
18,553,60.0,1
18,560,13.0,1
18,573,68.0,2
18,593,131.0,1
18,640,38.0,1
18,643,31.0,1
18,646,50.0,1
18,652,52.0,1
18,660,66.0,1
18,669,60.0,1
18,681,70.0,1
18,743,36.0,1
18,843,33.0,3
18,859,20.0,2
18,940,113.0,1
18,944,23.0,3
18,945,21.0,2
18,947,36.0,1
18,953,41.0,3
18,956,34.0,1
18,990,112.0,1
18,998,28.0,1
18,999,60.0,1
18,1041,136.0,1
18,1044,18.0,2
18,1045,26.0,1
18,1053,29.0,1
18,1067,41.0,1
18,1072,66.0,1
18,1084,75.0,1
18,1087,83.0,1
18,1098,13.0,9
18,1099,19.0,5
18,1144,22.0,2
18,1151,35.0,2
18,1152,2.0,0
18,1153,17.0,2
18,1171,89.0,1
18,1197,18.0,4
18,1198,5.0,5
18,1199,2.0,1
18,1245,21.0,4
18,1249,4.0,1
18,1250,21.0,2
18,1253,49.0,1
18,1266,58.0,1
18,1267,28.0,1
18,1277,126.0,1
18,1278,89.0,1
18,1279,79.0,1
18,1280,118.0,1
18,1282,79.0,1
18,1284,65.0,2
18,1285,66.0,2
18,1286,107.0,1
18,1289,55.0,1
18,1290,42.0,1
18,1296,50.0,1
18,1345,18.0,1
18,1348,17.0,3
18,1354,16.0,2
18,1358,32.0,2
18,1368,87.0,1
18,1375,95.0,1
18,1376,102.0,1
18,1386,60.0,1
18,1392,31.0,1
18,1441,71.0,1
18,1442,79.0,1
18,1443,46.0,1
18,1452,78.0,1
18,1453,102.0,2
18,1454,54.0,3
18,1455,19.0,3
18,1456,19.0,4
18,1464,42.0,2
18,1468,76.0,2
18,1473,97.0,1
18,1484,40.0,3
18,1543,52.0,3
18,1546,7.0,1
18,1548,76.0,1
18,1549,88.0,5
18,1550,76.0,1
18,1553,21.0,1
18,1554,19.0,7
18,1555,5.0,3
18,1556,7.0,10
18,1557,67.0,2
18,1567,76.0,1
18,1568,78.0,1
18,1583,12.0,2
18,1584,104.0,2
18,1585,79.0,1
18,1594,41.0,1
18,1647,71.0,1
18,1648,57.0,1
18,1649,38.0,1
18,1654,5.0,1
18,1655,9.0,6
18,1656,6.0,16
18,1662,94.0,1
18,1664,86.0,1
18,1666,109.0,3
18,1667,131.0,1
18,1683,33.0,5
18,1684,47.0,2
18,1692,2.0,1
18,1693,25.0,1
18,1694,31.0,1
18,1695,21.0,4
18,1744,63.0,1
18,1745,78.0,1
18,1749,22.0,2
18,1750,54.0,2
18,1752,47.0,1
18,1756,12.0,4
18,1767,21.0,2
18,1784,94.0,1
18,1785,13.0,3
18,1792,17.0,2
18,1797,55.0,1
18,1843,32.0,4
18,1844,58.0,1
18,1848,44.0,1
18,1850,21.0,1
18,1854,45.0,2
18,1882,41.0,1
18,1883,92.0,1
18,1891,10.0,3
18,1893,31.0,1
18,1940,86.0,1
18,1941,65.0,2
18,1943,65.0,1
18,1944,33.0,1
18,1945,47.0,1
18,1950,39.0,1
18,1953,21.0,1
18,1954,63.0,3
18,1984,65.0,2
18,1991,2.0,1
18,2044,63.0,1
18,2050,21.0,2
18,2139,5.0,2
18,2145,21.0,2
18,2146,17.0,1
18,2174,4.0,1
18,2184,81.0,2
18,2191,20.0,1
18,2236,92.0,1
18,2241,26.0,1
18,2242,12.0,1
18,2244,12.0,1
18,2246,18.0,3
18,2247,5.0,3
18,2255,22.0,3
18,2266,46.0,1
18,2284,84.0,1
18,2305,57.0,2
18,2307,10.0,1
18,2322,68.0,1
18,2334,100.0,3
18,2335,93.0,3
18,2339,46.0,1
18,2345,15.0,1
18,2346,48.0,4
18,2347,4.0,2
18,2348,39.0,1
18,2355,22.0,5
18,2384,107.0,2
18,2436,44.0,1
18,2439,5.0,1
18,2449,31.0,1
18,2450,47.0,1
18,2455,40.0,2
18,2476,39.0,1
18,2483,92.0,2
18,2484,13.0,1
18,2507,33.0,1
18,2531,92.0,1
18,2532,89.0,1
18,2546,92.0,1
18,2547,95.0,1
18,2565,44.0,1
18,2582,100.0,1
18,2630,83.0,4
18,2631,89.0,3
18,2651,52.0,1
18,2654,28.0,1
18,2677,58.0,1
18,2682,92.0,1
18,2683,31.0,1
18,2685,50.0,1
18,2711,60.0,1
18,2728,91.0,1
18,2755,37.0,4
18,2783,76.0,1
18,2803,70.0,1
18,2819,46.0,2
18,2821,49.0,1
18,2825,120.0,1
18,2838,39.0,1
18,2865,28.0,3
18,2875,36.0,1
18,2890,8.0,3
18,2915,10.0,2
18,2916,21.0,6
18,2921,13.0,2
18,2924,92.0,1
18,2934,21.0,1
18,2935,21.0,2
18,2948,101.0,2
18,2955,4.0,4
18,2963,42.0,1
18,3036,5.0,2
18,3037,9.0,2
18,3052,42.0,2
18,3056,54.0,1
18,3065,50.0,1
18,3079,115.0,1
18,3087,31.0,1
18,3091,29.0,1
18,3120,25.0,1
18,3124,53.0,2
18,3138,25.0,2
18,3178,91.0,1
18,3180,79.0,1
18,3189,55.0,1
18,3190,44.0,1
18,3191,36.0,1
18,3198,9.0,1
18,3199,29.0,1
18,3216,28.0,1
18,3220,55.0,1
18,3227,65.0,1
18,3230,12.0,1
18,3236,1.0,3
18,3237,36.0,1
18,3262,75.0,1
18,3264,18.0,1
18,3265,5.0,2
18,3266,31.0,1
18,3267,25.0,1
18,3279,76.0,1
18,3288,79.0,1
18,3295,54.0,2
18,3296,11.0,2
18,3321,21.0,4
18,3322,32.0,6
18,3328,11.0,2
18,3332,13.0,1
18,3333,11.0,5
18,3353,23.0,2
18,3356,33.0,3
18,3366,5.0,1
18,3378,84.0,1
18,3379,79.0,1
18,3393,28.0,1
18,3399,21.0,1
18,3416,32.0,2
18,3423,16.0,7
18,3424,16.0,5
18,3431,13.0,4
18,3433,8.0,1
18,3434,33.0,1
18,3436,29.0,3
18,3456,17.0,3
18,3462,26.0,1
18,3463,15.0,1
18,3465,12.0,4
18,3466,36.0,1
18,3478,44.0,1
18,3479,81.0,3
18,3487,21.0,1
18,3499,10.0,1
18,3524,5.0,1
18,3525,8.0,2
18,3536,25.0,1
18,3547,34.0,1
18,3552,66.0,4
18,3556,5.0,1
18,3563,23.0,1
18,3565,12.0,1
18,3566,52.0,1
18,3576,38.0,1
18,3577,65.0,1
18,3581,91.0,1
18,3600,24.0,5
18,3626,4.0,4
18,3627,26.0,5
18,3633,19.0,3
18,3637,36.0,1
18,3655,44.0,1
18,3658,19.0,3
18,3659,15.0,3
18,3661,37.0,2
18,3663,18.0,1
18,3665,34.0,2
18,3670,9.0,2
18,3675,18.0,1
18,3681,67.0,3
18,3683,66.0,2
18,3684,74.0,2
18,3721,91.0,1
18,3726,3.0,2
18,3729,24.0,2
18,3730,16.0,4
18,3738,41.0,1
18,3746,39.0,1
18,3747,39.0,1
18,3755,29.0,2
18,3756,11.0,2
18,3758,42.0,1
18,3760,55.0,1
18,3762,20.0,1
18,3763,19.0,2
18,3765,15.0,1
18,3769,27.0,2
18,3774,52.0,1
18,3775,26.0,2
18,3782,98.0,5
18,3821,83.0,2
18,3832,27.0,3
18,3846,12.0,2
18,3848,20.0,5
18,3850,12.0,2
18,3851,41.0,1
18,3852,9.0,3
18,3854,31.0,4
18,3856,15.0,4
18,3857,44.0,1
18,3858,24.0,3
18,3859,18.0,9
18,3860,15.0,3
18,3861,18.0,4
18,3862,2.0,1
18,3863,10.0,5
18,3865,52.0,1
18,3869,18.0,1
18,3871,9.0,2
18,3875,44.0,1
18,3882,62.0,1
18,3921,84.0,1
18,3927,31.0,1
18,3928,3.0,2
18,3930,18.0,1
18,3945,4.0,1
18,3947,22.0,4
18,3955,44.0,1
18,3956,47.0,1
18,3958,3.0,2
18,3962,28.0,1
18,3963,24.0,2
18,3964,6.0,3
18,3965,27.0,2
18,3966,52.0,1
18,3967,57.0,1
18,3969,14.0,2
18,3971,3.0,3
18,3974,52.0,1
18,3982,97.0,1
18,4021,108.0,2
18,4029,15.0,2
18,4030,31.0,2
18,4031,15.0,3
18,4035,50.0,1
18,4038,24.0,3
18,4039,20.0,1
18,4041,34.0,1
18,4042,9.0,1
18,4046,11.0,4
18,4049,17.0,1
18,4054,16.0,3
18,4055,11.0,2
18,4060,16.0,2
18,4068,29.0,3
18,4069,50.0,1
18,4070,16.0,3
18,4082,78.0,1
18,4085,1.0,2
18,4105,68.0,1
18,4110,44.0,1
18,4130,50.0,2
18,4134,39.0,2
18,4135,19.0,2
18,4138,4.0,1
18,4145,26.0,1
18,4150,13.0,2
18,4151,7.0,8
18,4152,28.0,3
18,4154,33.0,2
18,4155,3.0,2
18,4156,2.0,2
18,4157,19.0,5
18,4159,44.0,1
18,4163,18.0,1
18,4165,39.0,1
18,4171,7.0,4
